SIS V(mV)	-0.1
SIS C(uA)	25.2
SIS Mag (mA)	-0.1
LO PA Vd (V)	0.00
LO PA Id (mA)	0.00
IF(GHz)	Hot-Power(dBm)	Cold-Power(dBm)	Y-factor	Tsys
11.51	-65.96	-67.16	1.32	609.07
11.51	-65.98	-67.64	1.46	394.89
11.52	-66.09	-67.48	1.38	505.78
11.52	-66.30	-67.58	1.34	561.34
11.52	-66.11	-67.28	1.31	632.48
11.53	-65.68	-67.47	1.51	353.21
11.53	-65.98	-66.60	1.15	1341.33
11.54	-65.62	-66.95	1.36	534.29
11.54	-65.56	-66.85	1.35	554.32
11.54	-65.53	-66.95	1.39	486.84
11.55	-65.48	-66.90	1.39	488.54
11.55	-65.13	-66.80	1.47	391.11
11.55	-65.33	-66.87	1.42	438.51
11.56	-65.44	-66.79	1.36	524.69
11.56	-65.11	-66.75	1.46	400.79
11.56	-65.14	-66.36	1.32	600.44
11.57	-65.31	-66.66	1.37	522.54
11.57	-65.22	-66.56	1.36	528.51
11.58	-65.10	-66.56	1.40	468.40
11.58	-65.20	-65.98	1.20	1030.51
11.58	-65.22	-66.20	1.26	781.44
11.59	-65.67	-66.70	1.27	740.64
11.59	-65.42	-66.28	1.22	923.09
11.59	-65.70	-66.68	1.25	794.18
11.60	-65.54	-66.61	1.28	707.20
11.60	-65.25	-66.90	1.46	397.27
11.61	-65.37	-66.54	1.31	629.74
11.61	-65.22	-66.73	1.42	447.11
11.61	-65.06	-66.72	1.47	391.91
11.62	-65.24	-66.56	1.35	542.00
11.62	-65.05	-66.56	1.42	447.83
11.62	-64.96	-66.41	1.40	472.61
11.63	-65.16	-66.62	1.40	469.48
11.63	-64.98	-66.25	1.34	567.04
11.63	-65.14	-66.63	1.41	458.42
11.64	-64.86	-66.68	1.52	342.07
11.64	-64.90	-66.26	1.37	519.62
11.65	-65.15	-66.50	1.37	519.63
11.65	-65.29	-66.23	1.24	820.34
11.65	-65.38	-66.66	1.34	560.13
11.66	-65.42	-66.60	1.31	623.85
11.66	-65.36	-66.84	1.41	460.82
11.66	-65.35	-66.89	1.43	437.92
11.67	-65.52	-66.70	1.31	628.55
11.67	-65.37	-66.34	1.25	805.11
11.67	-65.29	-66.79	1.41	454.76
11.68	-65.42	-66.41	1.26	772.44
11.68	-65.65	-66.63	1.25	786.20
11.69	-65.69	-66.48	1.20	1016.96
11.69	-65.73	-66.72	1.26	776.85
11.69	-65.56	-66.61	1.28	719.22
11.70	-65.54	-66.91	1.37	513.24
11.70	-65.16	-66.95	1.51	349.95
11.70	-65.52	-66.64	1.30	665.32
11.71	-65.58	-66.48	1.23	873.10
11.71	-65.19	-66.27	1.28	693.90
11.71	-65.20	-66.39	1.32	615.53
11.72	-64.82	-66.38	1.43	430.56
11.72	-64.66	-66.03	1.37	514.09
11.73	-64.35	-66.09	1.49	367.03
11.73	-64.26	-65.95	1.47	385.65
11.73	-64.48	-65.71	1.33	592.89
11.74	-64.48	-65.82	1.36	528.53
11.74	-64.10	-65.75	1.46	398.87
11.74	-64.33	-65.74	1.39	491.74
11.75	-64.29	-65.77	1.41	461.18
11.75	-64.36	-65.71	1.36	526.33
11.76	-64.47	-65.97	1.41	451.45
11.76	-63.98	-65.67	1.48	381.77
11.76	-64.08	-65.62	1.42	438.84
11.77	-64.23	-65.76	1.42	441.11
11.77	-64.55	-65.65	1.29	686.41
11.77	-64.26	-65.93	1.47	388.79
11.78	-64.59	-65.86	1.34	565.27
11.78	-64.59	-65.74	1.30	646.73
11.78	-64.53	-65.95	1.38	492.12
11.79	-64.59	-65.75	1.31	640.81
11.79	-64.43	-65.97	1.43	434.38
11.80	-64.90	-65.60	1.17	1182.33
11.80	-64.43	-66.26	1.53	339.37
11.80	-64.78	-66.10	1.35	540.09
11.81	-65.10	-66.43	1.36	535.16
11.81	-65.20	-66.33	1.30	662.44
11.81	-64.88	-65.88	1.26	768.70
11.82	-64.80	-65.54	1.18	1107.09
11.82	-64.81	-66.36	1.43	434.97
11.82	-64.75	-66.01	1.34	574.39
11.83	-65.02	-66.39	1.37	515.80
11.83	-64.78	-66.34	1.43	429.43
11.84	-64.48	-66.86	1.73	222.85
11.84	-65.05	-66.49	1.39	482.88
11.84	-65.31	-66.73	1.39	490.22
11.85	-65.29	-66.64	1.36	523.98
11.85	-65.11	-66.60	1.41	457.88
11.85	-65.65	-67.13	1.41	461.62
11.86	-65.81	-66.85	1.27	725.27
11.86	-65.81	-66.88	1.28	710.00
11.87	-65.58	-67.16	1.44	425.12
11.87	-65.60	-67.20	1.45	412.44
11.87	-66.03	-67.56	1.42	440.48
11.88	-66.06	-67.42	1.37	519.34
11.88	-65.96	-67.16	1.32	610.00
11.88	-66.09	-67.55	1.40	471.35
11.89	-66.23	-67.48	1.33	584.57
11.89	-66.17	-67.25	1.28	698.20
11.89	-66.21	-67.57	1.37	521.16
11.90	-66.14	-67.60	1.40	473.86
11.90	-66.21	-67.46	1.33	580.11
11.91	-66.12	-67.71	1.44	417.88
11.91	-66.41	-67.96	1.43	434.71
11.91	-66.55	-67.59	1.27	731.19
11.92	-66.09	-67.86	1.51	355.81
11.92	-66.31	-67.53	1.32	602.62
11.92	-66.15	-67.52	1.37	512.03
11.93	-66.19	-67.58	1.38	499.41
11.93	-66.31	-67.16	1.22	936.99
11.94	-65.83	-67.45	1.45	407.75
11.94	-65.70	-67.18	1.41	462.69
11.94	-66.07	-67.20	1.30	660.94
11.95	-65.72	-67.07	1.37	521.27
11.95	-65.58	-66.73	1.30	644.43
11.95	-65.71	-66.94	1.33	588.12
11.96	-65.76	-66.54	1.19	1046.67
11.96	-65.12	-66.87	1.49	366.70
11.96	-65.28	-66.80	1.42	448.46
11.97	-64.98	-66.50	1.42	444.93
11.97	-65.17	-66.18	1.26	766.12
11.98	-64.55	-65.95	1.38	498.66
11.98	-64.76	-66.15	1.38	506.62
11.98	-64.83	-66.21	1.38	504.90
11.99	-64.46	-65.76	1.35	551.82
11.99	-64.45	-66.04	1.44	416.51
11.99	-64.71	-66.07	1.37	517.34
12.00	-64.60	-65.61	1.26	767.30
12.00	-64.31	-65.85	1.43	436.84
12.00	-64.38	-66.13	1.50	364.59
12.01	-64.89	-65.90	1.26	758.05
12.01	-64.27	-65.86	1.44	415.31
12.02	-64.59	-66.17	1.44	421.92
12.02	-64.74	-66.04	1.35	548.82
12.02	-64.63	-66.11	1.41	461.75
12.03	-64.69	-66.14	1.40	477.21
12.03	-64.69	-66.35	1.47	392.59
12.03	-65.13	-66.27	1.30	650.49
12.04	-65.11	-66.51	1.38	501.57
12.04	-65.60	-66.29	1.17	1209.25
12.04	-65.54	-66.51	1.25	793.60
12.05	-65.32	-66.79	1.41	463.42
12.05	-65.41	-66.92	1.42	448.26
12.06	-65.01	-66.18	1.31	631.42
12.06	-65.57	-66.48	1.23	866.87
12.06	-65.26	-66.49	1.33	595.54
12.07	-65.50	-66.51	1.26	757.19
12.07	-65.55	-66.75	1.32	612.85
12.07	-65.27	-66.58	1.35	548.75
12.08	-65.59	-66.28	1.17	1194.11
12.08	-65.24	-66.76	1.42	445.98
12.09	-65.23	-66.67	1.39	478.98
12.09	-65.13	-66.59	1.40	472.91
12.09	-65.16	-66.64	1.41	459.45
12.10	-64.92	-66.78	1.54	332.24
12.10	-65.33	-66.49	1.31	636.42
12.10	-65.12	-66.55	1.39	485.34
12.11	-65.02	-66.04	1.27	746.67
12.11	-64.80	-66.06	1.34	572.70
12.11	-64.88	-65.97	1.29	690.34
12.12	-64.52	-65.75	1.33	592.87
12.12	-64.21	-65.83	1.45	405.72
12.13	-64.28	-65.77	1.41	461.00
12.13	-64.33	-65.57	1.33	581.01
12.13	-64.11	-65.37	1.34	570.85
12.14	-63.91	-65.48	1.44	424.53
12.14	-63.74	-65.26	1.42	446.43
12.14	-63.75	-65.29	1.42	438.31
12.15	-64.12	-65.05	1.24	844.64
12.15	-63.86	-65.21	1.37	522.29
12.15	-63.50	-65.13	1.45	405.93
12.16	-64.00	-65.01	1.26	766.07
12.16	-64.06	-64.99	1.24	835.04
12.17	-63.83	-65.00	1.31	634.71
12.17	-63.41	-65.18	1.51	356.04
12.17	-63.54	-64.73	1.32	616.81
12.18	-63.22	-64.88	1.47	393.23
12.18	-63.40	-64.78	1.37	511.21
12.18	-63.83	-64.92	1.29	686.06
12.19	-63.74	-64.95	1.32	604.23
12.19	-63.58	-64.50	1.24	849.70
12.20	-63.97	-65.00	1.27	741.71
12.20	-64.03	-65.16	1.30	664.23
12.20	-63.94	-65.10	1.30	641.32
12.21	-63.64	-65.35	1.48	377.89
12.21	-64.18	-64.98	1.20	1009.50
12.21	-63.98	-65.08	1.29	678.47
12.22	-64.00	-65.30	1.35	552.02
12.22	-64.10	-65.14	1.27	736.95
12.22	-64.22	-64.89	1.17	1235.85
12.23	-63.69	-65.15	1.40	471.19
12.23	-63.56	-65.42	1.53	332.70
12.24	-63.47	-65.37	1.55	321.38
12.24	-64.07	-65.18	1.29	674.36
12.24	-63.68	-65.40	1.49	374.37
12.25	-63.44	-65.08	1.46	401.98
12.25	-63.88	-65.45	1.44	424.71
12.25	-63.93	-65.31	1.38	504.44
12.26	-64.11	-65.31	1.32	609.80
12.26	-63.92	-65.56	1.46	402.65
12.27	-64.82	-66.12	1.35	550.35
12.27	-64.95	-66.04	1.29	688.91
12.27	-65.17	-66.43	1.34	575.06
12.28	-65.03	-66.50	1.40	470.44
12.28	-65.66	-66.41	1.19	1079.54
12.28	-65.83	-66.86	1.27	747.01
12.29	-66.07	-67.15	1.28	700.56
12.29	-66.15	-67.45	1.35	551.56
12.29	-66.29	-67.33	1.27	734.93
12.30	-66.50	-67.53	1.27	744.94
12.30	-66.84	-67.89	1.27	725.24
12.31	-66.85	-68.11	1.34	571.60
12.31	-66.84	-68.43	1.44	419.07
12.31	-67.30	-68.50	1.32	612.65
12.32	-66.76	-67.92	1.31	634.62
12.32	-67.57	-68.53	1.25	805.28
12.32	-67.27	-68.78	1.41	450.95
12.33	-67.24	-67.93	1.17	1199.08
12.33	-67.35	-68.31	1.25	814.91
12.33	-67.29	-68.30	1.26	761.10
12.34	-66.85	-68.08	1.33	591.89
12.34	-67.30	-68.35	1.27	725.59
12.35	-66.80	-68.24	1.39	480.20
12.35	-66.67	-67.86	1.32	618.15
12.35	-66.54	-67.71	1.31	627.26
12.36	-66.20	-67.58	1.37	507.42
12.36	-66.00	-67.61	1.45	414.08
12.36	-66.36	-67.23	1.22	914.35
12.37	-65.94	-67.15	1.32	607.11
12.37	-65.77	-66.65	1.22	898.39
12.38	-65.73	-66.90	1.31	627.78
12.38	-65.67	-67.11	1.39	479.30
12.38	-65.83	-67.27	1.39	483.36
12.39	-65.52	-66.79	1.34	569.92
12.39	-65.70	-67.00	1.35	550.40
12.39	-65.63	-66.50	1.22	913.31
12.40	-65.55	-66.84	1.35	556.04
12.40	-65.78	-67.03	1.33	583.74
12.40	-65.32	-66.75	1.39	488.08
12.41	-64.81	-66.35	1.42	438.35
12.41	-65.41	-66.85	1.39	477.51
12.42	-65.81	-66.91	1.29	684.21
12.42	-65.88	-67.31	1.39	487.51
12.42	-66.17	-67.53	1.37	519.41
12.43	-66.12	-67.30	1.31	619.20
12.43	-66.28	-67.68	1.38	498.51
12.43	-66.73	-67.55	1.21	977.86
12.44	-66.41	-67.15	1.19	1105.07
12.44	-66.50	-67.43	1.24	836.67
12.44	-66.62	-67.69	1.28	712.63
12.45	-66.51	-67.54	1.27	738.75
12.45	-66.12	-67.56	1.39	480.54
12.46	-66.27	-67.52	1.33	580.92
12.46	-66.33	-67.29	1.25	805.72
12.46	-66.35	-67.42	1.28	708.68
12.47	-65.77	-67.17	1.38	497.36
12.47	-65.95	-67.13	1.31	620.62
12.47	-65.74	-66.64	1.23	872.04
12.48	-65.52	-66.88	1.37	517.53
12.48	-65.35	-66.71	1.37	515.43
12.48	-65.07	-66.44	1.37	510.21
12.49	-65.12	-66.91	1.51	353.15
12.49	-65.25	-66.83	1.44	423.54
12.50	-65.46	-66.55	1.28	693.55
12.50	-65.27	-66.38	1.29	674.58
12.50	-65.37	-66.59	1.32	599.38
12.51	-65.36	-66.44	1.28	702.15
12.51	-64.83	-66.28	1.40	476.85
12.51	-65.01	-66.36	1.37	521.15
12.52	-64.86	-66.22	1.37	515.78
12.52	-64.59	-66.25	1.46	395.07
12.53	-64.93	-66.08	1.30	647.47
12.53	-65.17	-66.41	1.33	587.36
12.53	-65.26	-66.00	1.19	1102.48
12.54	-65.11	-66.10	1.26	777.74
12.54	-64.99	-66.03	1.27	733.95
12.54	-65.54	-66.47	1.24	841.03
12.55	-65.76	-66.51	1.19	1081.99
12.55	-65.72	-66.71	1.26	774.44
12.55	-65.28	-66.56	1.34	559.00
12.56	-65.44	-66.48	1.27	729.40
12.56	-65.30	-66.59	1.35	556.30
12.57	-65.53	-66.22	1.17	1192.26
12.57	-65.03	-66.47	1.39	477.73
12.57	-64.91	-65.90	1.26	779.72
12.58	-64.99	-65.94	1.25	814.54
12.58	-64.47	-65.86	1.37	508.07
12.58	-64.93	-66.00	1.28	707.06
12.59	-64.60	-65.50	1.23	877.45
12.59	-64.19	-65.96	1.50	359.56
12.60	-64.21	-65.39	1.31	623.56
12.60	-64.42	-65.63	1.32	603.28
12.60	-64.35	-65.43	1.28	694.33
12.61	-64.24	-65.79	1.43	430.23
12.61	-64.18	-65.34	1.31	633.23
12.61	-64.37	-65.38	1.26	758.95
12.62	-64.61	-65.44	1.21	958.26
12.62	-63.93	-65.11	1.31	626.60
12.62	-64.20	-65.33	1.30	655.21
12.63	-64.00	-64.85	1.22	940.57
12.63	-63.93	-64.91	1.25	785.42
12.64	-63.96	-65.25	1.35	557.00
12.64	-63.94	-64.87	1.24	837.20
12.64	-63.95	-64.96	1.26	760.80
12.65	-63.85	-65.25	1.38	501.23
12.65	-63.74	-65.02	1.34	562.13
12.65	-63.90	-65.35	1.40	475.30
12.66	-64.18	-65.04	1.22	920.80
12.66	-63.92	-64.88	1.25	807.04
12.66	-63.92	-65.21	1.35	557.36
12.67	-64.36	-65.65	1.35	553.59
12.67	-64.12	-65.73	1.45	409.08
12.68	-64.08	-65.36	1.34	560.41
12.68	-64.26	-65.33	1.28	705.67
12.68	-64.40	-65.84	1.39	477.91
12.69	-64.55	-65.78	1.33	591.33
12.69	-65.07	-65.90	1.21	968.29
12.69	-64.79	-65.77	1.25	787.34
12.70	-64.60	-65.87	1.34	567.66
12.70	-64.84	-65.60	1.19	1069.70
12.71	-65.27	-66.23	1.25	807.05
12.71	-64.81	-66.23	1.39	490.69
12.71	-65.16	-66.13	1.25	799.36
12.72	-65.07	-65.90	1.21	963.54
12.72	-65.24	-66.31	1.28	704.72
12.72	-64.63	-66.04	1.38	494.57
12.73	-64.92	-66.25	1.36	533.30
12.73	-64.37	-65.95	1.44	421.15
12.73	-64.61	-66.13	1.42	449.37
12.74	-64.50	-65.70	1.32	610.95
12.74	-64.35	-65.45	1.29	679.60
12.75	-63.97	-65.72	1.50	363.97
12.75	-64.06	-65.62	1.43	432.20
12.75	-64.38	-65.44	1.28	711.78
12.76	-64.13	-65.15	1.26	750.75
12.76	-64.34	-65.38	1.27	738.07
12.76	-63.94	-65.41	1.40	466.33
12.77	-64.27	-65.47	1.32	611.19
12.77	-64.22	-65.43	1.32	598.46
12.77	-64.21	-65.59	1.38	505.69
12.78	-64.49	-65.47	1.25	786.26
12.78	-64.45	-65.45	1.26	771.63
12.79	-64.22	-65.54	1.36	538.16
12.79	-64.48	-65.59	1.29	674.25
12.79	-64.49	-65.68	1.32	615.66
12.80	-64.83	-65.81	1.25	789.79
12.80	-64.89	-65.59	1.18	1163.80
12.80	-64.71	-65.39	1.17	1211.84
12.81	-65.08	-66.32	1.33	587.19
12.81	-65.06	-66.05	1.26	773.81
12.81	-64.78	-66.15	1.37	514.11
12.82	-64.86	-66.49	1.46	401.16
12.82	-65.32	-66.21	1.23	883.38
12.83	-65.20	-66.44	1.33	583.99
12.83	-65.45	-66.47	1.26	754.00
12.83	-64.94	-66.28	1.36	532.62
12.84	-65.42	-66.42	1.26	764.03
12.84	-65.08	-66.21	1.30	663.63
12.84	-64.91	-66.36	1.40	474.39
12.85	-65.31	-66.10	1.20	1021.69
12.85	-65.27	-66.38	1.29	678.76
12.86	-65.33	-66.17	1.21	952.01
12.86	-65.13	-66.20	1.28	707.66
12.86	-65.33	-66.29	1.25	800.69
12.87	-65.14	-66.20	1.28	711.82
12.87	-64.86	-66.44	1.44	421.64
12.87	-65.27	-66.60	1.36	533.74
12.88	-65.12	-66.30	1.31	625.72
12.88	-65.07	-66.34	1.34	570.77
12.88	-65.33	-66.29	1.25	815.76
12.89	-64.85	-66.23	1.37	509.37
12.89	-65.23	-65.83	1.15	1380.48
12.90	-64.90	-66.18	1.34	562.42
12.90	-65.10	-65.95	1.21	941.62
12.90	-64.81	-65.96	1.30	643.65
12.91	-65.05	-65.90	1.22	934.72
12.91	-65.70	-66.13	1.10	2060.65
12.91	-65.62	-66.46	1.21	946.26
12.92	-65.43	-66.51	1.28	703.91
12.92	-65.09	-65.99	1.23	871.35
12.93	-65.55	-66.43	1.22	901.12
12.93	-65.66	-66.40	1.18	1108.64
12.93	-65.18	-66.45	1.34	564.21
12.94	-65.65	-66.53	1.23	890.30
12.94	-65.23	-66.55	1.35	541.30
12.94	-65.48	-66.84	1.37	519.91
12.95	-65.54	-66.59	1.27	720.13
12.95	-65.76	-66.53	1.19	1062.85
12.95	-65.62	-66.41	1.20	1022.66
12.96	-65.96	-66.90	1.24	820.55
12.96	-65.56	-66.79	1.33	588.21
12.97	-65.17	-66.24	1.28	703.46
12.97	-65.31	-66.08	1.19	1062.00
12.97	-65.06	-66.33	1.34	571.17
12.98	-65.22	-65.93	1.18	1155.81
12.98	-64.68	-66.00	1.35	541.94
12.98	-65.09	-65.44	1.08	2586.84
12.99	-64.66	-65.55	1.23	881.67
12.99	-64.67	-65.57	1.23	872.07
12.99	-64.41	-65.54	1.30	660.95
13.00	-64.50	-65.55	1.27	722.70
13.00	-64.11	-65.43	1.36	537.99
13.01	-64.28	-65.08	1.20	1013.45
13.01	-64.03	-65.11	1.28	694.79
13.01	-64.29	-65.17	1.22	905.42
13.02	-64.03	-64.90	1.22	912.20
13.02	-63.80	-65.08	1.34	563.29
13.02	-64.16	-65.29	1.30	659.43
13.03	-64.44	-65.42	1.25	794.34
13.03	-64.20	-65.35	1.30	647.16
13.04	-64.31	-65.41	1.29	684.13
13.04	-64.24	-64.92	1.17	1220.57
13.04	-64.35	-65.38	1.27	735.71
13.05	-64.84	-65.10	1.06	3514.44
13.05	-64.73	-65.61	1.22	902.12
13.05	-65.02	-65.72	1.17	1178.55
13.06	-64.84	-66.02	1.31	628.64
13.06	-65.43	-65.96	1.13	1599.60
13.06	-65.52	-66.18	1.16	1258.81
13.07	-65.51	-66.22	1.18	1149.82
13.07	-65.56	-66.85	1.35	556.21
13.08	-65.74	-66.39	1.16	1277.75
13.08	-65.45	-66.46	1.26	761.05
13.08	-65.57	-66.52	1.24	821.63
13.09	-65.50	-66.57	1.28	707.85
13.09	-65.19	-66.40	1.32	607.79
13.09	-65.27	-66.38	1.29	678.68
13.10	-65.08	-65.92	1.21	943.71
13.10	-64.82	-66.22	1.38	499.24
13.10	-64.72	-66.27	1.43	434.09
13.11	-64.68	-65.56	1.22	899.41
13.11	-64.74	-65.72	1.25	793.40
13.12	-64.37	-65.75	1.37	507.59
13.12	-64.24	-65.95	1.48	375.64
13.12	-64.62	-65.86	1.33	580.42
13.13	-64.61	-65.61	1.26	771.27
13.13	-64.33	-65.39	1.28	717.79
13.13	-64.67	-65.50	1.21	965.50
13.14	-64.67	-65.20	1.13	1614.67
13.14	-64.17	-65.11	1.24	819.70
13.14	-64.01	-65.13	1.30	663.46
13.15	-64.34	-65.29	1.24	819.19
13.15	-64.72	-65.35	1.16	1325.62
13.16	-63.86	-64.88	1.27	746.93
13.16	-64.13	-65.45	1.35	542.18
13.16	-64.10	-64.89	1.20	1009.70
13.17	-64.00	-64.97	1.25	793.67
13.17	-64.22	-65.20	1.25	793.60
13.17	-64.17	-65.02	1.22	938.16
13.18	-64.15	-64.90	1.19	1081.72
13.18	-64.01	-64.98	1.25	804.57
13.19	-63.73	-64.90	1.31	630.31
13.19	-63.89	-64.72	1.21	958.23
13.19	-63.62	-64.73	1.29	674.22
13.20	-63.54	-64.30	1.19	1078.87
13.20	-62.84	-64.30	1.40	472.10
13.20	-63.17	-64.33	1.31	639.78
13.21	-63.00	-64.38	1.37	508.63
13.21	-62.79	-64.02	1.33	590.73
13.21	-62.88	-63.98	1.29	683.03
13.22	-63.12	-63.87	1.19	1084.39
13.22	-62.64	-64.17	1.42	443.80
13.23	-63.03	-64.20	1.31	628.25
13.23	-62.82	-64.36	1.42	439.58
13.23	-62.84	-64.15	1.35	547.07
13.24	-62.92	-63.67	1.19	1094.96
13.24	-63.03	-63.98	1.24	823.11
13.24	-62.91	-63.31	1.10	2156.08
13.25	-62.67	-63.92	1.33	578.20
13.25	-62.92	-63.36	1.11	1998.17
13.26	-62.52	-63.50	1.25	789.02
13.26	-62.87	-63.86	1.26	780.35
13.26	-62.72	-64.08	1.37	518.87
13.27	-62.67	-64.06	1.38	502.41
13.27	-62.63	-63.95	1.35	543.27
13.27	-63.09	-63.77	1.17	1232.59
13.28	-62.88	-64.06	1.31	626.50
13.28	-62.67	-64.06	1.38	504.44
13.28	-63.08	-63.89	1.20	992.52
13.29	-63.02	-63.72	1.17	1179.79
13.29	-63.18	-64.15	1.25	798.00
13.30	-62.98	-63.91	1.24	842.53
13.30	-62.89	-63.99	1.29	684.33
13.30	-63.36	-64.07	1.18	1154.42
13.31	-63.02	-64.08	1.28	710.25
13.31	-63.28	-64.07	1.20	1019.06
13.31	-62.81	-64.08	1.34	566.15
13.32	-62.90	-64.27	1.37	512.90
13.32	-63.26	-64.25	1.26	780.42
13.32	-63.11	-64.34	1.33	589.43
13.33	-63.40	-64.69	1.35	555.36
13.33	-63.14	-64.15	1.26	758.64
13.34	-62.99	-64.37	1.37	508.09
13.34	-63.17	-64.22	1.27	725.48
13.34	-62.79	-64.04	1.33	581.00
13.35	-62.66	-63.96	1.35	552.40
13.35	-62.66	-64.11	1.40	472.44
13.35	-62.43	-63.92	1.41	456.43
13.36	-62.72	-63.41	1.17	1205.14
13.36	-62.65	-64.09	1.39	481.53
13.37	-62.23	-63.41	1.31	625.95
13.37	-62.81	-63.44	1.16	1328.57
13.37	-62.72	-63.67	1.24	819.73
13.38	-62.49	-63.33	1.21	947.86
13.38	-61.98	-63.68	1.48	381.26
13.38	-62.24	-63.62	1.37	507.72
13.39	-62.15	-63.86	1.48	378.54
13.39	-62.50	-63.33	1.21	963.85
13.39	-62.73	-63.46	1.18	1132.50
13.40	-62.98	-63.58	1.15	1419.92
13.40	-62.67	-63.64	1.25	797.38
13.41	-62.69	-63.94	1.33	584.98
13.41	-62.56	-63.96	1.38	499.30
13.41	-62.85	-64.03	1.31	626.29
13.42	-63.03	-64.13	1.29	679.43
13.42	-63.11	-64.27	1.31	632.46
13.42	-63.13	-64.40	1.34	567.20
13.43	-62.81	-64.21	1.38	500.49
13.43	-63.35	-64.58	1.33	594.96
13.43	-63.09	-64.82	1.49	372.44
13.44	-63.04	-64.38	1.36	528.90
13.44	-63.72	-64.72	1.26	762.43
13.45	-63.49	-64.73	1.33	588.73
13.45	-63.53	-64.88	1.37	520.85
13.45	-63.70	-64.70	1.26	767.75
13.46	-63.79	-64.98	1.31	619.45
13.46	-63.80	-64.95	1.30	649.38
13.46	-63.84	-65.04	1.32	615.25
13.47	-63.83	-65.53	1.48	381.11
13.47	-63.82	-65.19	1.37	513.17
13.47	-63.99	-65.23	1.33	589.89
13.48	-63.80	-65.15	1.36	527.75
13.48	-63.74	-65.38	1.46	399.49
13.49	-64.02	-65.15	1.30	655.97
13.49	-64.20	-65.19	1.25	781.89
13.49	-63.82	-65.35	1.42	441.50
13.50	-63.81	-65.10	1.35	557.63
13.50	-63.93	-65.26	1.36	534.40
13.50	-63.90	-65.41	1.42	446.34
13.51	-64.20	-65.25	1.27	722.75
13.51	-64.39	-65.12	1.18	1112.78
13.52	-64.49	-65.31	1.21	970.30
13.52	-64.20	-65.35	1.30	645.16
13.52	-64.17	-65.23	1.28	712.31
13.53	-64.36	-65.38	1.27	747.02
13.53	-64.35	-65.67	1.36	536.68
13.53	-64.31	-65.78	1.40	466.23
13.54	-64.47	-65.68	1.32	604.23
13.54	-64.62	-65.69	1.28	702.97
13.54	-64.56	-65.78	1.32	600.95
13.55	-64.33	-65.35	1.27	748.22
13.55	-64.45	-65.83	1.37	507.54
13.56	-63.94	-65.36	1.39	488.01
13.56	-63.89	-65.52	1.46	403.76
13.56	-63.84	-65.30	1.40	469.59
13.57	-63.90	-65.14	1.33	582.78
13.57	-63.28	-65.00	1.48	374.76
13.57	-63.77	-64.89	1.29	668.21
13.58	-63.80	-65.00	1.32	613.38
13.58	-63.51	-64.88	1.37	511.77
13.59	-63.23	-64.84	1.45	411.47
13.59	-63.43	-64.88	1.40	475.87
13.59	-63.01	-64.68	1.47	389.33
13.60	-63.00	-64.26	1.34	571.00
13.60	-62.72	-63.78	1.28	713.18
13.60	-62.65	-63.95	1.35	551.39
13.61	-62.86	-63.96	1.29	684.00
13.61	-62.81	-63.73	1.24	853.39
13.61	-62.42	-64.04	1.45	409.28
13.62	-62.09	-63.59	1.41	455.24
13.62	-62.52	-63.56	1.27	733.27
13.63	-62.61	-63.78	1.31	626.17
13.63	-62.43	-63.83	1.38	499.85
13.63	-62.26	-63.85	1.44	417.54
13.64	-62.65	-63.83	1.31	624.67
13.64	-62.50	-63.57	1.28	706.64
13.64	-62.59	-63.85	1.34	571.89
13.65	-62.59	-63.58	1.25	784.78
13.65	-62.15	-63.81	1.47	391.66
13.65	-62.23	-63.53	1.35	546.89
13.66	-62.22	-63.24	1.27	744.32
13.66	-62.39	-63.86	1.40	469.29
13.67	-62.31	-63.51	1.32	609.30
13.67	-62.30	-63.79	1.41	456.58
13.67	-62.39	-63.81	1.39	491.81
13.68	-62.47	-63.99	1.42	444.52
13.68	-62.55	-64.03	1.41	462.95
13.68	-62.53	-63.90	1.37	511.61
13.69	-62.60	-63.74	1.30	649.98
13.69	-62.28	-63.80	1.42	444.68
13.70	-62.32	-63.44	1.29	668.13
13.70	-61.95	-63.32	1.37	513.81
13.70	-61.83	-63.28	1.39	479.50
13.71	-61.60	-63.29	1.47	385.50
13.71	-61.21	-62.92	1.48	376.22
13.71	-61.25	-62.90	1.46	397.24
13.72	-61.30	-62.87	1.44	425.31
13.72	-61.30	-62.64	1.36	531.49
13.72	-60.56	-62.72	1.64	264.28
13.73	-60.88	-62.39	1.41	451.46
13.73	-60.88	-62.60	1.48	375.29
13.74	-60.63	-62.53	1.55	320.77
13.74	-60.61	-62.04	1.39	484.77
13.74	-60.39	-62.56	1.65	261.17
13.75	-60.55	-62.27	1.49	372.82
13.75	-60.61	-62.24	1.46	403.62
13.75	-60.49	-62.26	1.50	358.97
13.76	-60.69	-62.22	1.42	440.76
13.76	-60.56	-61.96	1.38	500.70
13.76	-60.67	-61.62	1.24	817.95
13.77	-60.75	-62.18	1.39	482.13
13.77	-60.37	-62.11	1.49	367.37
13.78	-60.48	-61.90	1.39	489.85
13.78	-60.68	-61.79	1.29	674.26
13.78	-60.68	-62.34	1.47	392.77
13.79	-60.60	-61.95	1.37	522.91
13.79	-60.72	-61.94	1.32	600.87
13.79	-60.15	-61.85	1.48	381.50
13.80	-60.20	-62.20	1.58	298.43
13.80	-60.28	-61.72	1.39	479.54
13.80	-59.81	-61.58	1.50	356.72
13.81	-59.93	-61.90	1.57	303.99
